IRI Week,Calendar week starting on,Calendar week ending on,Jan,Feb,Mar,Apr,May,Jun,July,Aug,Sep,Oct,Nov,Dec,Halloween,Halloween_1,Thanksgiving,Thanksgiving_1,Christmas,Christmas_1,NewYear,President,President_1,Easter,Easter_1,Memorial,Memorial_1,4thJuly,4thJuly_1,Labour,Labour_1
1172,11-Feb-02,17-Feb-02,,1,,,,,,,,,,,0,,,,,,,1,,,,,,,,,
1173,18-Feb-02,24-Feb-02,,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1174,25-Feb-02,3-Mar-02,,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1175,4-Mar-02,10-Mar-02,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,
1176,11-Mar-02,17-Mar-02,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,
1177,18-Mar-02,24-Mar-02,,,1,,,,,,,,,,0,,,,,,,,,,1,,,,,,
1178,25-Mar-02,31-Mar-02,,,1,,,,,,,,,,0,,,,,,,,,1,,,,,,,
1179,1-Apr-02,7-Apr-02,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,
1180,8-Apr-02,14-Apr-02,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,
1181,15-Apr-02,21-Apr-02,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,
1182,22-Apr-02,28-Apr-02,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,
1183,29-Apr-02,5-May-02,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,
1184,6-May-02,12-May-02,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,
1185,13-May-02,19-May-02,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,
1186,20-May-02,26-May-02,,,,,1,,,,,,,,0,,,,,,,,,,,,1,,,,
1187,27-May-02,2-Jun-02,,,,,1,,,,,,,,0,,,,,,,,,,,1,,,,,
1188,3-Jun-02,9-Jun-02,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,
1189,10-Jun-02,16-Jun-02,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,
1190,17-Jun-02,23-Jun-02,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,
1191,24-Jun-02,30-Jun-02,,,,,,1,,,,,,,0,,,,,,,,,,,,,,1,,
1192,1-Jul-02,7-Jul-02,,,,,,,1,,,,,,0,,,,,,,,,,,,,1,,,
