,0_1_25293_60025,0_1_25293_60027,0_1_25293_60039,0_1_28000_58454,0_1_49900_27268,0_2_25293_60037,0_2_28000_24610,7_1_42365_22800,7_1_42365_22820,7_1_42365_22840,7_1_42365_26400,7_1_42365_26410,7_1_42365_26420,7_1_42365_26440,88_6_99998_59442,88_6_99998_59443,88_6_99998_59444,88_6_99998_59461,88_6_99998_59486,88_6_99998_59492,88_6_99998_59494,88_6_99998_59504,88_6_99998_59509,88_6_99998_59518,88_6_99998_59519,88_6_99998_59520,88_6_99998_59525,88_6_99998_59546,88_6_99998_59547,88_6_99998_59548,88_6_99998_59549,88_6_99998_59597,88_6_99998_59601,88_6_99998_59649,88_6_99998_59651,88_6_99998_59689
0_2_25293_60037_Sales,0.0,-0.0,0.061480582986632476,-0.08692515032732548,0.17337357422137226,0.0,0.0,-0.13647131917487895,-0.047984060428830806,0.053842779315841784,0.0,0.3062488528615867,-0.06355473902835482,0.16588886995149638,0.11364340590775272,0.04499706525831623,0.2274074854475654,-0.1397187084695732,0.0,-0.043349125872891976,0.39517111953104334,-0.06977473546408647,0.22866677008447248,0.076301497837534,0.24854980442964353,0.0,-0.41546355476938185,0.08286657505148282,-0.019877928432983177,0.6256799840158572,-0.0,-0.0,0.0,-0.0,0.0,-0.0
0_2_28000_24610_Discount,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
0_2_28000_24610_Display,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_2_28000_24610_Feature,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0
0_2_28000_24610_Sales,-0.01601548002240653,0.03638596486086246,-0.046878451589472105,0.033347616406215905,0.0,0.008461785546983614,0.0,0.0888732810965427,-0.13289363808886023,-0.048343911504346394,0.12828295759639496,0.20233791116722147,0.16445161341274198,0.20576780703603653,-0.00552571292964502,0.061892055218959914,-0.04512908107836321,0.2658540316832436,0.02586303736881425,0.024715890447746615,0.4899039867128265,0.02687370651683473,-0.0,0.01657348772499151,-0.0,0.005447000536134103,0.031158696187399165,0.13540231248690424,0.17821886738402798,0.06487145361011769,-0.4637745902040032,0.024052726091742357,0.0,-0.053027523540269676,0.017920724723042018,0.017275091226163147
7_1_42365_22800_Discount,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
7_1_42365_22800_Display,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7_1_42365_22800_Feature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7_1_42365_22800_Sales,0.016512804736031398,0.0,0.0491676209243068,0.0,0.09389081224776694,-0.0,-0.009167100427586625,0.0,-0.0,0.010065244498145987,0.0029833388866187067,0.0,-0.2253144271329937,-0.017411202607363525,-0.0,-0.10001493314593629,0.46274111927157124,-0.03632684741589358,0.08353180911028456,-0.0,0.18097140601702436,-0.3131197816941404,0.01544594166362948,0.04864346671487739,-0.19503148824340732,0.2537568645972661,-0.18258067911354153,-0.0641395321396841,-0.06114243457985813,0.15496639746521074,-0.08560462597791409,-0.06022213209328723,-0.0,-0.0,-0.0,-0.001135956831870208
7_1_42365_22820_Discount,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
7_1_42365_22820_Display,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7_1_42365_22820_Feature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7_1_42365_22820_Sales,-0.06078338382281264,0.04633406009396907,0.049338067114958827,0.05802235511189855,0.031022172540434968,0.0,-0.027313003744875948,-0.0,0.0,0.03901947553962504,0.02999273444250989,0.11912465118791452,0.14808268456166898,0.06099547768189377,0.0187335981969939,-0.12584482563425964,-0.13387062177961742,-0.12124965389609886,-0.04169017521570834,-0.0,-0.14707292288443882,0.12923560597699052,-0.02025455055830506,0.006660351437417894,0.049153585794077276,-0.1859273864797481,-0.01198236657332041,0.005004080071166107,0.0,0.09489517644062477,-0.19436744520854715,-0.00962124931060063,0.006646248996995347,0.05579231103387216,0.009012786441428798,-0.03503763498072619
7_1_42365_22840_Discount,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
7_1_42365_22840_Display,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7_1_42365_22840_Feature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7_1_42365_22840_Sales,0.03064499120385214,0.0,-0.08761012544573607,-0.019960680012351933,0.007277887411541574,0.05157889891981032,-0.007751484797731391,0.056236079252039196,-0.03020333335271226,0.0,0.07705478952826782,-0.10464541841580355,-0.0035260478182911462,0.1422076554135324,0.0,0.17626613130081015,-0.1749761430326983,0.13681712131468796,-0.06203292503332082,0.013025795905262302,0.0,-0.13687435527171157,0.14700492341769938,0.0,-0.06783192845097312,0.18120436557145414,-0.30129116540031836,-0.002875242814098045,-0.057367136032910084,-0.008380453803882113,0.025981127742526484,0.03827415594612853,0.0,-0.03349249830078797,-0.031558492786973084,-0.0
7_1_42365_26400_Discount,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0
7_1_42365_26400_Display,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7_1_42365_26400_Feature,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
