IRI Week,Year,Calendar week starting on,Calendar week ending on,Jan,Feb,Mar,Apr,May,Jun,July,Aug,Sep,Oct,Nov,Dec,Halloween,Halloween_1,Thanksgiving,Thanksgiving_1,Christmas,Christmas_1,NewYear,President,President_1,Easter,Easter_1,Memorial,Memorial_1,4thJuly,4thJuly_1,Labour,Labour_1
1188,2002,3-Jun-02,9-Jun-02,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,
1189,2002,10-Jun-02,16-Jun-02,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,
1190,2002,17-Jun-02,23-Jun-02,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,
1191,2002,24-Jun-02,30-Jun-02,,,,,,1,,,,,,,0,,,,,,,,,,,,,,1,,
1192,2002,1-Jul-02,7-Jul-02,,,,,,,1,,,,,,0,,,,,,,,,,,,,1,,,
1193,2002,8-Jul-02,14-Jul-02,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,
1194,2002,15-Jul-02,21-Jul-02,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,
1195,2002,22-Jul-02,28-Jul-02,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,
1196,2002,29-Jul-02,4-Aug-02,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,
1197,2002,5-Aug-02,11-Aug-02,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,
1198,2002,12-Aug-02,18-Aug-02,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,
1199,2002,19-Aug-02,25-Aug-02,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,
1200,2002,26-Aug-02,1-Sep-02,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,1
1201,2002,2-Sep-02,8-Sep-02,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,1,
1202,2002,9-Sep-02,15-Sep-02,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,
1203,2002,16-Sep-02,22-Sep-02,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,
1204,2002,23-Sep-02,29-Sep-02,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,
1205,2002,30-Sep-02,6-Oct-02,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,
1206,2002,7-Oct-02,13-Oct-02,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,
1207,2002,14-Oct-02,20-Oct-02,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,
1208,2002,21-Oct-02,27-Oct-02,,,,,,,,,,1,,,0,1,,,,,,,,,,,,,,,
1209,2002,28-Oct-02,3-Nov-02,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,
1210,2002,4-Nov-02,10-Nov-02,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,
1211,2002,11-Nov-02,17-Nov-02,,,,,,,,,,,1,,0,,,1,,,,,,,,,,,,,
1212,2002,18-Nov-02,24-Nov-02,,,,,,,,,,,1,,0,,1,,,,,,,,,,,,,,
1213,2002,25-Nov-02,1-Dec-02,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,
1214,2002,2-Dec-02,8-Dec-02,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,
1215,2002,9-Dec-02,15-Dec-02,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,
1216,2002,16-Dec-02,22-Dec-02,,,,,,,,,,,,1,0,,,,,1,,,,,,,,,,,
1217,2002,23-Dec-02,29-Dec-02,,,,,,,,,,,,1,0,,,,1,,,,,,,,,,,,
1218,2002,30-Dec-02,5-Jan-03,1,,,,,,,,,,,,0,,,,,,1,,,,,,,,,,
1219,2003,6-Jan-03,12-Jan-03,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1220,2003,13-Jan-03,19-Jan-03,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1221,2003,20-Jan-03,26-Jan-03,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1222,2003,27-Jan-03,2-Feb-03,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1223,2003,3-Feb-03,9-Feb-03,,1,,,,,,,,,,,0,,,,,,,,1,,,,,,,,
1224,2003,10-Feb-03,16-Feb-03,,1,,,,,,,,,,,0,,,,,,,1,,,,,,,,,
1225,2003,17-Feb-03,23-Feb-03,,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1226,2003,24-Feb-03,2-Mar-03,,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1227,2003,3-Mar-03,9-Mar-03,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,
1228,2003,10-Mar-03,16-Mar-03,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,
1229,2003,17-Mar-03,23-Mar-03,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,
1230,2003,24-Mar-03,30-Mar-03,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,
1231,2003,31-Mar-03,6-Apr-03,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,
1232,2003,7-Apr-03,13-Apr-03,,,,1,,,,,,,,,0,,,,,,,,,,1,,,,,,
1233,2003,14-Apr-03,20-Apr-03,,,,1,,,,,,,,,0,,,,,,,,,1,,,,,,,
1234,2003,21-Apr-03,27-Apr-03,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,
1235,2003,28-Apr-03,4-May-03,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,
1236,2003,5-May-03,11-May-03,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,
1237,2003,12-May-03,18-May-03,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,
1238,2003,19-May-03,25-May-03,,,,,1,,,,,,,,0,,,,,,,,,,,,1,,,,
1239,2003,26-May-03,1-Jun-03,,,,,1,,,,,,,,0,,,,,,,,,,,1,,,,,
1240,2003,2-Jun-03,8-Jun-03,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,
1241,2003,9-Jun-03,15-Jun-03,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,
1242,2003,16-Jun-03,22-Jun-03,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,
1243,2003,23-Jun-03,29-Jun-03,,,,,,1,,,,,,,0,,,,,,,,,,,,,,1,,
1244,2003,30-Jun-03,6-Jul-03,,,,,,,1,,,,,,0,,,,,,,,,,,,,1,,,
1245,2003,7-Jul-03,13-Jul-03,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,
1246,2003,14-Jul-03,20-Jul-03,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,
1247,2003,21-Jul-03,27-Jul-03,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,
1248,2003,28-Jul-03,3-Aug-03,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,
1249,2003,4-Aug-03,10-Aug-03,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,
1250,2003,11-Aug-03,17-Aug-03,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,
1251,2003,18-Aug-03,24-Aug-03,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,
1252,2003,25-Aug-03,31-Aug-03,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,1
1253,2003,1-Sep-03,7-Sep-03,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,1,
1254,2003,8-Sep-03,14-Sep-03,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,
1255,2003,15-Sep-03,21-Sep-03,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,
1256,2003,22-Sep-03,28-Sep-03,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,
1257,2003,29-Sep-03,5-Oct-03,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,
1258,2003,6-Oct-03,12-Oct-03,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,
1259,2003,13-Oct-03,19-Oct-03,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,
1260,2003,20-Oct-03,26-Oct-03,,,,,,,,,,1,,,0,1,,,,,,,,,,,,,,,
1261,2003,27-Oct-03,2-Nov-03,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,
1262,2003,3-Nov-03,9-Nov-03,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,
1263,2003,10-Nov-03,16-Nov-03,,,,,,,,,,,1,,0,,,1,,,,,,,,,,,,,
1264,2003,17-Nov-03,23-Nov-03,,,,,,,,,,,1,,0,,1,,,,,,,,,,,,,,
1265,2003,24-Nov-03,30-Nov-03,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,
1266,2003,1-Dec-03,7-Dec-03,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,
1267,2003,8-Dec-03,14-Dec-03,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,
1268,2003,15-Dec-03,21-Dec-03,,,,,,,,,,,,1,0,,,,,1,,,,,,,,,,,
1269,2003,22-Dec-03,28-Dec-03,,,,,,,,,,,,1,0,,,,1,,,,,,,,,,,,
1270,2003,29-Dec-03,4-Jan-04,1,,,,,,,,,,,,0,,,,,,1,,,,,,,,,,
1271,2004,5-Jan-04,11-Jan-04,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1272,2004,12-Jan-04,18-Jan-04,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1273,2004,19-Jan-04,25-Jan-04,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1274,2004,26-Jan-04,1-Feb-04,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1275,2004,2-Feb-04,8-Feb-04,,1,,,,,,,,,,,0,,,,,,,,1,,,,,,,,
1276,2004,9-Feb-04,15-Feb-04,,1,,,,,,,,,,,0,,,,,,,1,,,,,,,,,
1277,2004,16-Feb-04,22-Feb-04,,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1278,2004,23-Feb-04,29-Feb-04,,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1279,2004,1-Mar-04,7-Mar-04,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,
1280,2004,8-Mar-04,14-Mar-04,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,
1281,2004,15-Mar-04,21-Mar-04,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,
1282,2004,22-Mar-04,28-Mar-04,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,
1283,2004,29-Mar-04,4-Apr-04,,,,1,,,,,,,,,0,,,,,,,,,,1,,,,,,
1284,2004,5-Apr-04,11-Apr-04,,,,1,,,,,,,,,0,,,,,,,,,1,,,,,,,
1285,2004,12-Apr-04,18-Apr-04,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,
1286,2004,19-Apr-04,25-Apr-04,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,
1287,2004,26-Apr-04,2-May-04,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,
1288,2004,3-May-04,9-May-04,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,
1289,2004,10-May-04,16-May-04,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,
1290,2004,17-May-04,23-May-04,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,
1291,2004,24-May-04,30-May-04,,,,,1,,,,,,,,0,,,,,,,,,,,,1,,,,
1292,2004,31-May-04,6-Jun-04,,,,,,1,,,,,,,0,,,,,,,,,,,1,,,,,
1293,2004,7-Jun-04,13-Jun-04,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,
1294,2004,14-Jun-04,20-Jun-04,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,
1295,2004,21-Jun-04,27-Jun-04,,,,,,1,,,,,,,0,,,,,,,,,,,,,,1,,
1296,2004,28-Jun-04,4-Jul-04,,,,,,,1,,,,,,0,,,,,,,,,,,,,1,,,
1297,2004,5-Jul-04,11-Jul-04,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,
1298,2004,12-Jul-04,18-Jul-04,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,
1299,2004,19-Jul-04,25-Jul-04,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,
1300,2004,26-Jul-04,1-Aug-04,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,
1301,2004,2-Aug-04,8-Aug-04,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,
1302,2004,9-Aug-04,15-Aug-04,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,
1303,2004,16-Aug-04,22-Aug-04,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,
1304,2004,23-Aug-04,29-Aug-04,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,
1305,2004,30-Aug-04,5-Sep-04,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,1
1306,2004,6-Sep-04,12-Sep-04,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,1,
1307,2004,13-Sep-04,19-Sep-04,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,
1308,2004,20-Sep-04,26-Sep-04,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,
1309,2004,27-Sep-04,3-Oct-04,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,
1310,2004,4-Oct-04,10-Oct-04,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,
1311,2004,11-Oct-04,17-Oct-04,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,
1312,2004,18-Oct-04,24-Oct-04,,,,,,,,,,1,,,0,1,,,,,,,,,,,,,,,
1313,2004,25-Oct-04,31-Oct-04,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,
1314,2004,1-Nov-04,7-Nov-04,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,
1315,2004,8-Nov-04,14-Nov-04,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,
1316,2004,15-Nov-04,21-Nov-04,,,,,,,,,,,1,,0,,,1,,,,,,,,,,,,,
1317,2004,22-Nov-04,28-Nov-04,,,,,,,,,,,1,,0,,1,,,,,,,,,,,,,,
1318,2004,29-Nov-04,5-Dec-04,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,
1319,2004,6-Dec-04,12-Dec-04,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,
1320,2004,13-Dec-04,19-Dec-04,,,,,,,,,,,,1,0,,,,,1,,,,,,,,,,,
1321,2004,20-Dec-04,26-Dec-04,,,,,,,,,,,,1,0,,,,1,,,,,,,,,,,,
1322,2004,27-Dec-04,2-Jan-05,,,,,,,,,,,,1,0,,,,,,1,,,,,,,,,,
1323,2005,3-Jan-05,9-Jan-05,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1324,2005,10-Jan-05,16-Jan-05,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1325,2005,17-Jan-05,23-Jan-05,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1326,2005,24-Jan-05,30-Jan-05,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1327,2005,31-Jan-05,6-Feb-05,,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1328,2005,7-Feb-05,13-Feb-05,,1,,,,,,,,,,,0,,,,,,,,1,,,,,,,,
1329,2005,14-Feb-05,20-Feb-05,,1,,,,,,,,,,,0,,,,,,,1,,,,,,,,,
1330,2005,21-Feb-05,27-Feb-05,,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1331,2005,28-Feb-05,6-Mar-05,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,
1332,2005,7-Mar-05,13-Mar-05,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,
1333,2005,14-Mar-05,20-Mar-05,,,1,,,,,,,,,,0,,,,,,,,,,1,,,,,,
1334,2005,21-Mar-05,27-Mar-05,,,1,,,,,,,,,,0,,,,,,,,,1,,,,,,,
1335,2005,28-Mar-05,3-Apr-05,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,
1336,2005,4-Apr-05,10-Apr-05,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,
1337,2005,11-Apr-05,17-Apr-05,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,
1338,2005,18-Apr-05,24-Apr-05,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,
1339,2005,25-Apr-05,1-May-05,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,
1340,2005,2-May-05,8-May-05,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,
1341,2005,9-May-05,15-May-05,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,
