Time_ID,Start_Date,End_Date
1457,30-Jul-07,5-Aug-07
1458,6-Aug-07,12-Aug-07
1459,13-Aug-07,19-Aug-07
1460,20-Aug-07,26-Aug-07
1461,27-Aug-07,2-Sep-07
1462,3-Sep-07,9-Sep-07
1463,10-Sep-07,16-Sep-07
1464,17-Sep-07,23-Sep-07
1465,24-Sep-07,30-Sep-07
1466,1-Oct-07,7-Oct-07
1467,8-Oct-07,14-Oct-07
1468,15-Oct-07,21-Oct-07
1469,22-Oct-07,28-Oct-07
1470,29-Oct-07,4-Nov-07
1471,5-Nov-07,11-Nov-07
1472,12-Nov-07,18-Nov-07
1473,19-Nov-07,25-Nov-07
1474,26-Nov-07,2-Dec-07
1475,3-Dec-07,9-Dec-07
1476,10-Dec-07,16-Dec-07
1477,17-Dec-07,23-Dec-07
1478,24-Dec-07,30-Dec-07
